"J","seed","bad_position","M","p","kGreater","kEqual","MC_lower","MC_upper","exact_population_midp","reference_outside","at_001_disagrees"
23,43,9,1e+05,0.00089,86,6,0.000687944764985863,0.00112818080067548,0.000601457319643434,TRUE,FALSE
23,43,10,1e+05,0.000455,45,1,0.000328251433503775,0.000613528419237637,0.000601457319643434,FALSE,FALSE
23,43,11,1e+05,0.00015,14,2,7.6541348796503e-05,0.000259817006512908,0.000601457319643434,TRUE,FALSE
23,43,12,1e+05,0.00074,71,6,0.000554556236512126,0.000962275309393523,0.000601457319643434,FALSE,FALSE
23,43,13,1e+05,0.00026,25,2,0.000161793145986192,0.000392811696743018,0.000601457319643434,TRUE,FALSE
23,43,14,1e+05,0.00048,46,4,0.00033679688244125,0.000659135195869372,0.000601457319643434,FALSE,FALSE
23,43,15,1e+05,0.00079,77,4,0.000607718252817275,0.00100665698624786,0.000601457319643434,TRUE,FALSE
23,43,16,1e+05,0.000405,39,3,0.000277342363721623,0.000567676054565555,0.000601457319643434,TRUE,FALSE
23,43,17,1e+05,0.00017,16,2,9.14565018363277e-05,0.000284462741797757,0.000601457319643434,TRUE,FALSE
23,43,18,1e+05,0.000195,18,3,0.000106682785535601,0.000320989490051027,0.000601457319643434,TRUE,FALSE
23,43,19,1e+05,0.00069,67,4,0.000519277349245053,0.00089548528739523,0.000601457319643434,FALSE,FALSE
23,43,20,1e+05,0.000435,42,3,0.000302715299621255,0.000602089599307751,0.000601457319643434,FALSE,FALSE
23,43,21,1e+05,0.001,97,6,0.000786672873483381,0.00124903763664215,0.000601457319643434,TRUE,FALSE
23,43,22,1e+05,0.000945,92,5,0.000741712294371765,0.00118319150730553,0.000601457319643434,TRUE,FALSE
23,43,23,1e+05,0.000325,30,5,0.000202417605783052,0.000486731986144492,0.000601457319643434,TRUE,FALSE
23,44,1,1e+05,0.00052,48,8,0.000353934653800304,0.000727145778428027,0.000601457319643434,FALSE,FALSE
23,44,2,1e+05,0.001185,115,7,0.000949533436585612,0.00145650927604699,0.000601457319643434,TRUE,FALSE
23,44,3,1e+05,0.001,97,6,0.000786672873483381,0.00124903763664215,0.000601457319643434,TRUE,FALSE
23,44,4,1e+05,0.00108,107,2,0.000876971132313724,0.00131471655463946,0.000601457319643434,TRUE,FALSE
23,44,5,1e+05,0.00123,122,2,0.00101323602626582,0.00147826683945131,0.000601457319643434,TRUE,FALSE
