"N1","N2","p1","p2","p3","p4","partition","n","groups","maxRank","minRank","best","best50","worst","worst50","id"
500,2000,3,10,5,9,FALSE,11025,4625,3,12,0.996903309624734,0.996903309624734,0.660896191378353,0.660896191378353,194
700,300,1,5,2,3,FALSE,441,297,1,13,0.997623721676969,0.997623721676969,0.592495611690836,0.592495611690836,195
500,700,25,3,25,4,FALSE,1225,649,20,22,0.882547804959694,0.882547804959694,0.0655889571505725,0.0655889571505725,196
500,500,25,10,23,9,FALSE,625,369,7,247,0.414329100325491,0.414329100325491,0.0471829696216524,0.0475189474296489,197
200,200,10,5,10,4,FALSE,81,65,1,25,0.669708653719505,0.669708653719505,0.104635896858212,0.104635896858212,198
500,1000,0,2,1,0,FALSE,990,590,1,1,0.999999971237688,0.999999971237688,0.796439628482972,0.796439628482972,199
1000,700,5,50,4,48,FALSE,5929,2329,19,328,0.89303223023707,0.89303223023707,0.0475607591142867,0.0480814934298159,200
300,300,3,3,2,5,FALSE,81,65,1,4,0.962794997444608,0.962794997444608,0.565797833428534,0.565797833428534,201
1000,500,25,0,25,0,FALSE,935,535,1,185,0.946188029440355,0.946188029440355,0.153087654551569,0.16589475822072,203
200,5000,0,5,0,6,FALSE,7803,5303,1,4178,0.985074626865672,0.985074626865672,0.160840621733594,0.194958316169855,204
700,300,50,2,49,0,FALSE,294,222,42,15,0.993814679433781,0.993814679433781,0.843975594230481,0.843975594230481,205
700,500,25,25,26,24,FALSE,1225,649,4,1,0.614903497051507,0.614903497051507,0.0657734042865532,0.0657734042865532,206
300,200,2,10,1,8,FALSE,81,65,1,29,0.827529435638629,0.827529435638629,0.137861580746607,0.137861580746607,208
500,200,5,25,4,24,FALSE,225,161,9,50,0.652811953180872,0.652811953180872,0.0818972150798025,0.0818972150798025,209
300,2000,10,50,11,51,FALSE,3969,2369,11,386,0.560770641860237,0.560770641860237,0.0417374250779846,0.041988555763565,211
700,2000,2,25,1,24,FALSE,21609,7209,1,331,0.999948613099257,0.999948613099257,0.0687464177240025,0.0718287936986005,212
500,500,50,50,48,48,FALSE,625,369,1,280,0.201325113703974,0.201325113703974,0.0253452571560153,0.0253700154772663,213
200,300,2,5,4,6,FALSE,81,65,1,8,0.856862245599429,0.856862245599429,0.123351102841804,0.123351102841804,217
300,200,25,25,25,24,FALSE,81,65,1,26,0.348999543386425,0.348999543386425,0.0510050187909461,0.0510050187909461,219
700,700,25,3,24,2,FALSE,2401,1105,6,74,0.95860518537646,0.95860518537646,0.0684781833417847,0.069012003580285,220
700,700,50,25,50,27,FALSE,2401,1105,1,4,0.682923300050921,0.682923300050921,0.17852601567511,0.17852601567511,221
500,300,1,25,2,23,FALSE,225,161,1,1,0.973010346102811,0.973010346102811,0.3483837006691,0.3483837006691,222
300,2000,25,3,23,5,FALSE,3969,2369,60,98,0.973404316358777,0.973325119197153,0.697379946865957,0.699376412259267,223
2000,300,25,1,26,3,FALSE,3969,2369,1,1,0.999930855744029,0.999930855744029,0.810805432818877,0.810805432818877,224
500,700,25,3,25,5,FALSE,1225,649,15,17,0.975859507177145,0.975859507177145,0.605472057933382,0.605472057933382,225
500,1000,3,25,2,26,FALSE,3025,1425,1,10,0.985701019887177,0.985701019887177,0.0699372182404622,0.0699372182404622,226
5000,200,50,0,51,0,FALSE,7803,5303,1,3978,0.980586220022841,0.980586220022841,0.157104417168719,0.188465681045699,227
2000,300,50,50,52,49,FALSE,3969,2369,1,15,0.558497521179308,0.558497521179308,0.170530222475425,0.170530222475425,228
200,5000,50,3,49,2,FALSE,23409,13409,1,2488,0.9709771113702,0.9709771113702,0.0892600737068735,0.0916957588262362,229
300,5000,3,10,3,11,FALSE,23409,13409,1,7460,0.753422774979634,0.753422774979634,0.0726316234120126,0.0739517376918918,230
